event_date,event_name,event_type
2024-01-01,New Year Sale,sale
2024-03-08,Holi Season Promo,seasonal
2024-10-28,Diwali Pre-Sale,festive
2024-11-01,Diwali Week,festive
2024-11-08,Diwali Post-Sale,festive
2024-12-25,Christmas/Year-End Sale,sale
2025-01-01,New Year Sale,sale
2025-03-14,Holi Season Promo,seasonal
2025-10-18,Diwali Pre-Sale,festive
2025-10-25,Diwali Week,festive
2025-11-01,Diwali Post-Sale,festive
2025-12-25,Christmas/Year-End Sale,sale
2026-01-01,New Year Sale,sale
2026-03-06,Holi Season Promo,seasonal
2026-06-15,Summer Skincare Push,seasonal
